mpoints=2, min_diff_points=5, rounding_nb=10, tp=15, sl=9.46
PNL = 203.34533107052079 | MaxDD = 109.04025424129344
1,32834.85,37884.43,2021-01-24T04:00:00.000000000,2021-02-04T04:00:00.000000000
1,37361.16,43785.81,2021-02-04T08:00:00.000000000,2021-02-08T12:00:00.000000000
1,43147.2,49716.6,2021-02-08T16:00:00.000000000,2021-02-16T00:00:00.000000000
1,49224.0,57063.19,2021-02-16T04:00:00.000000000,2021-02-20T16:00:00.000000000
1,55917.41,49680.0,2021-02-20T20:00:00.000000000,2021-02-23T04:00:00.000000000
1,46377.07,53877.22,2021-02-23T08:00:00.000000000,2021-03-09T00:00:00.000000000
1,53602.41,63068.31,2021-03-09T04:00:00.000000000,2021-04-13T08:00:00.000000000
1,63420.34,54849.46,2021-04-13T12:00:00.000000000,2021-04-18T00:00:00.000000000
1,56216.8,50319.33,2021-04-18T04:00:00.000000000,2021-04-23T00:00:00.000000000
1,48000.81,55447.48,2021-04-23T04:00:00.000000000,2021-04-28T16:00:00.000000000
1,54861.77,49595.76,2021-04-28T20:00:00.000000000,2021-05-12T20:00:00.000000000
1,50477.14,45573.29,2021-05-13T00:00:00.000000000,2021-05-16T16:00:00.000000000
1,46429.28,40635.3,2021-05-16T20:00:00.000000000,2021-05-19T00:00:00.000000000
1,40372.57,36043.11,2021-05-19T04:00:00.000000000,2021-05-21T16:00:00.000000000
1,37211.02,33306.95,2021-05-21T20:00:00.000000000,2021-05-23T12:00:00.000000000
1,33033.85,39563.58,2021-05-23T16:00:00.000000000,2021-05-24T16:00:00.000000000
1,38779.66,34452.15,2021-05-24T20:00:00.000000000,2021-05-29T12:00:00.000000000
1,34051.48,39247.4,2021-05-29T16:00:00.000000000,2021-06-03T20:00:00.000000000
1,37945.72,33550.96,2021-06-04T00:00:00.000000000,2021-06-07T20:00:00.000000000
1,32797.91,37806.48,2021-06-08T00:00:00.000000000,2021-06-10T08:00:00.000000000
1,36893.51,32985.72,2021-06-10T12:00:00.000000000,2021-06-21T04:00:00.000000000
1,32513.16,38276.54,2021-06-21T08:00:00.000000000,2021-07-26T00:00:00.000000000
1,38157.02,43945.16,2021-07-26T04:00:00.000000000,2021-08-07T16:00:00.000000000
1,44601.11,51799.57,2021-08-07T20:00:00.000000000,2021-09-05T20:00:00.000000000
1,51618.29,46644.0,2021-09-06T00:00:00.000000000,2021-09-07T12:00:00.000000000
1,46713.14,41999.99,2021-09-07T16:00:00.000000000,2021-09-21T16:00:00.000000000
1,40726.1,47482.27,2021-09-21T20:00:00.000000000,2021-10-01T08:00:00.000000000
1,47339.99,55014.04,2021-10-01T12:00:00.000000000,2021-10-06T12:00:00.000000000
1,55078.56,64219.99,2021-10-06T16:00:00.000000000,2021-10-19T16:00:00.000000000
1,64316.7,58142.13,2021-10-19T20:00:00.000000000,2021-11-18T12:00:00.000000000
1,57952.3,52003.89,2021-11-18T16:00:00.000000000,2021-12-04T00:00:00.000000000
-1,52003.89,43421.69,2021-12-04T00:00:00.000000000,2022-01-05T20:00:00.000000000
-1,43421.69,36425.98,2022-01-05T20:00:00.000000000,2022-01-21T20:00:00.000000000
-1,36425.98,40701.71,2022-01-21T20:00:00.000000000,2022-02-04T16:00:00.000000000
-1,40701.71,44842.26,2022-02-04T16:00:00.000000000,2022-02-08T04:00:00.000000000
-1,44842.26,37549.9,2022-02-08T04:00:00.000000000,2022-02-21T08:00:00.000000000
-1,37549.9,41306.4,2022-02-21T08:00:00.000000000,2022-02-28T16:00:00.000000000
-1,41306.4,46820.8,2022-02-28T16:00:00.000000000,2022-03-27T20:00:00.000000000
-1,46820.8,39505.6,2022-03-27T20:00:00.000000000,2022-04-11T20:00:00.000000000
-1,39505.6,33567.0,2022-04-11T20:00:00.000000000,2022-05-09T00:00:00.000000000
-1,33567.0,28380.9,2022-05-09T00:00:00.000000000,2022-05-12T00:00:00.000000000
-1,28380.9,31324.4,2022-05-12T00:00:00.000000000,2022-05-15T20:00:00.000000000
-1,31324.4,26564.7,2022-05-15T20:00:00.000000000,2022-06-12T20:00:00.000000000
-1,26564.7,22471.5,2022-06-12T20:00:00.000000000,2022-06-13T20:00:00.000000000
-1,22471.5,18946.6,2022-06-13T20:00:00.000000000,2022-06-18T12:00:00.000000000
-1,18946.6,20791.0,2022-06-18T12:00:00.000000000,2022-06-20T08:00:00.000000000
-1,20791.0,23116.2,2022-06-20T08:00:00.000000000,2022-07-19T12:00:00.000000000
-1,23116.2,19547.5,2022-07-19T12:00:00.000000000,2022-08-28T20:00:00.000000000
-1,19547.5,21569.4,2022-08-28T20:00:00.000000000,2022-09-10T16:00:00.000000000
-1,21569.4,18238.0,2022-09-10T16:00:00.000000000,2022-11-08T16:00:00.000000000
-1,18238.0,20996.3,2022-11-08T16:00:00.000000000,2023-01-14T00:00:00.000000000
-1,20996.3,22996.2,2023-01-14T00:00:00.000000000,2023-01-21T12:00:00.000000000
